// Compost colors for confluence. You may add your own colors, change existing ones, or remove colors that aren't needed.
abeemination, #eb9325
topaz_chain, #b46e07
topaz_hook, #6e4311
topaz_minecart, #b8780e
topaz_robe, #b97c04
topaz_sapling, #d4c56c
topaz_staff, #624e28
tragic_umbrella, #2c2c37
tree_numph_butterfly, #8e96ac
tropical_barracuda, #8af0ff
tropical_smoothie, #e1caab
trout, #ae9475
truffle_worm, #899697
tuna, #7a7f76
tundra_trout, #30caff
tungsten_axe, #788284
tungsten_boots, #667966
tungsten_bow, #575e65
tungsten_broadsword, #78868e
tungsten_chestplate, #7a8782
tungsten_hammer, #93a598
tungsten_helmet, #7c879a
tungsten_hoe, #545c61
tungsten_ingot, #8aa183
tungsten_leggings, #697666
tungsten_pickaxe, #6f7a75
tungsten_short_bow, #575f6e
tungsten_short_sword, #839184
tungsten_shovel, #65736f
ultra_absorbant_sponge, #6bcc94
ulysses_butterfly, #43738a
umbrella, #d77c76
unholy_arrow, #582341
unholy_water, #371e5e
unicorn_fish, #b682b5
universe_key, #793765
vertebra, #ae9b8a
vicious_mushroom, #c39ba4
vicious_powder, #874d48
viking_helmet, #786561
vile_mushroom, #ac94ca
vile_powder, #57485b
vilethron, #525541
vine_rope, #446c32
vine_rope_coil, #406930
vital_crystal, #836ed4
volcano, #b97255
wall_of_flesh_treasure_bag, #8a1526
wand_of_frosting, #515b52
wand_of_sparking, #545426
water_bolt, #7d91a7
water_strider, #194a8e
water_walking_potion, #3e508c
waterleaf, #40c2ae
waterleaf_seed, #7ab25b
weather_pain, #756c61
weaving_cloud_cotton, #b9bee1
web_rope, #b9a4a0
web_rope_coil, #b59e9b
web_slinger, #826861
wet_bomb, #4b7aa8
white_paint, #9094a8
whoopie_cushion, #d27346
winter_marrow, #6580c6
wire_cutter, #682f34
wood_fishing_pole, #7c766b
wooden_hammer, #785b28
wooden_short_bow, #5e4720
worm, #ffab80
worm_food, #8e786f
worm_hook, #907680
worm_tooth, #826f54
wormhole_potion, #4a91c2
wrath_potion, #762829
wyverntail, #c3cfcc
xenon_moss, #40c9ff
xenon_moss_fishing_bobber, #41a0ae
yellow_dragonfly, #726144
yellow_eel, #6f5b16
yellow_willow_boat, #dd8a4e
yellow_willow_chest_boat, #bb7c40
yellow_willow_door, #ffbb65
yellow_willow_drooping_leaves, #f7ab78
yellow_willow_hanging_sign, #f4a565
yellow_willow_sapling, #ea987c
yellow_willow_sign, #fea85f
yellow_wrench, #79694d
zebra_swallowtail_butterfly, #6f7687
zombie_fish, #83684e
zongzi, #7a7968
